otu name,Taxonomy,Percent Homology,evalue,bitscore,homology extract gibbsfree_otu/gibbsfree_homolog,total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length,Extraction-Blank-1,Extraction-Blank-2,H2O-Extraction-Blank,MKE-1-2,MKE-1-3,MKE-1-4,MKE-2-1,MKE-2-2,MKE-2-3,MKE-3-3,MKE-3-4,MKE-3-7,MKE-4-B1,MKE-4-B2,MKE-4-B3,MKE-4-Tub-2,MKE-4-Tub-3,MKE-4-Tub-4,MKE-4-UT1,MKE-4-UT2,MKE-4-UT3,MKE-5-B5,MKE-5-B6,MKE-5-B7,MKE-5-T1,MKE-5-T2,MKE-5-B1,MKE-5-Tub1-R1,MKE-5-Tub2-R1,MKE-5-Tub3-R1,MKE-5-UT1,MKE-5-UT2,MKE-5-UT3,MKE-7-2,MKE-7-1,MKE-7-4,MKE-7-Bot-Tub1,MKE-7-Bot-Tub2,MKE-7-Top-Tub1,MKE-7-UT1,MKE-7-UT2,MKE-7-UT3,MKE-8-3,MKE-8-4,MKE-8-5,MKE-9-Cu2,MKE-9-Cu3,MKE-9-Cu4,MKE-13-4,MKE-13-5,MKE-13-6,MKE-14-B1,MKE-14-B2,MKE-14-B3,MKE-16-B1,MKE-16-B2,MKE-16-B3,MKE-16-Tub-R1,MKE-16-Tub-R2,OC-1-G,OC-1-H,OC-1-I,OC-4-3,OC-4-4,OC-4-5,OC-5-3,OC-5-4,OC-5-5,OC-6-1,OC-6-2,OC-6-5,OC-7-4,OC-7-5,OC-7-6,WK1-B1,WK1-B2,WK1-B3,WK2-LP-19-B,WK2-LP-20-B,WK2-LP-21-B,WK2-Fe-1,WK2-Fe-12D,WK2-Fe-3,WK3-B3,WK3-B4,WK3-B5,WK3-Tub-4,WK3-Tub-6,WK3-Tub-7,WK3-UT-1,WK3-UT-2,WK3-UT-3
Zotu23,ay281086.1 streptococcus sanguinis str. atcc 49296  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__streptococcaceae;g__streptococcus;s__streptococcus sanguinis;superkingdom__bacteria,100,4.14993e-126,455.735,,,16,17,535,11,20,11,16,25,27,12,414,51,27,106,38,73,29,68,125,24,190,261,342,118,113,292,261,278,334,236,103,200,114,161,0,50,186,102,203,239,201,84,181,281,0,246,269,316,559,152,197,268,208,225,246,273,131,37,28,33,33,263,519,274,273,0,0,572,309,252,249,862,219,255,250,169,56,100,130,99,134,100,187,225,662,151,103,118,171,84,105,153
Zotu24,eu768403.1 pervasive effects antibiotic on human gut microbiota deep sequencing fecal clone c5_739   ;k__bacteria;p__actinobacteria;c__actinomycetia;o__bifidobacteriales;f__bifidobacteriaceae;g__bifidobacterium;s__bifidobacterium longum;superkingdom__bacteria;,100,1.19435e-126,457.539,,,601,578,536,50,563,611,596,637,569,540,149,0,561,65,50,26,13,46,41,18,68,92,96,23,9,84,99,142,121,79,37,62,30,70,0,4,100,47,76,84,69,17,0,96,138,131,107,123,136,2,112,115,100,56,87,111,52,6,16,15,21,9,3,72,135,0,0,12,227,96,105,261,118,96,74,5,214,415,385,512,405,514,344,395,205,292,442,394,325,367,330,312
Zotu25,ab056129.1 rarobacter incanus str. ifo 16558    ;k__bacteria;p__actinobacteria;c__actinomycetia;o__micrococcales;f__rarobacteraceae;g__rarobacter;s__rarobacter incanus;superkingdom__bacteria;,79.44664032,4.4667e-56,223.101,,,0,0,0,1,0,0,0,0,0,0,0,0,4,278,25,2225,5498,1120,499,1082,48,0,0,52,0,0,3,0,0,2,148,50,108,14,0,31,22,12,0,2,6,63,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,10,0,0,0
Zotu26,eu467546.1 southern three_banded armadillo feces clone arma_g07  ;k__bacteria;p__firmicutes;c__erysipelotrichia;o__erysipelotrichales;f__erysipelotrichaceae;g__holdemanella;s__eubacterium biforme;superkingdom__bacteria,100,1.19435e-126,457.539,,,240,283,288,8,268,304,298,297,300,249,130,1,296,182,68,113,46,99,205,52,309,389,426,1,0,458,335,537,384,312,160,338,135,326,0,67,294,211,389,326,314,103,55,517,116,390,437,426,1,22,452,476,372,363,306,451,249,32,26,0,35,0,0,362,368,0,0,0,0,359,0,0,471,314,0,30,206,257,160,345,267,229,363,232,61,336,193,207,157,149,205,135
Zotu27,ab425921.1 lactobacillus johnsonii str. tb_b15 (= kk21)  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__lactobacillaceae;g__lactobacillus;s__lactobacillus johnsonii;superkingdom__bacteria,100,1.19435e-126,457.539,,,328,267,283,0,297,286,265,305,299,310,0,0,301,134,377,54,29,73,185,35,198,269,267,0,96,330,317,257,466,333,150,293,99,205,0,89,197,170,206,301,211,84,2,320,142,331,425,282,0,0,310,288,254,266,206,311,150,17,42,0,23,2,356,342,345,0,0,0,86,355,0,1,263,249,0,0,229,244,186,250,213,323,309,321,0,376,166,335,201,395,202,151
Zotu28,gq089686.1 topographical and temporal human skin microbiome skin axillary vault clone nbw325b12c1   ;k__bacteria;p__actinobacteria;c__coriobacteriia;o__coriobacteriales;f__atopobiaceae;g__olsenella;s__olsenella profusa; superkingdom__bacteria;,96.42857143,1.27059e-113,414.258,,,567,590,545,15,552,578,580,539,586,464,94,169,509,48,176,31,13,44,55,23,89,92,110,0,80,93,107,98,115,85,38,90,13,82,0,43,68,61,77,104,77,29,0,81,120,92,81,117,0,21,66,104,122,96,93,88,45,8,4,84,84,34,0,118,94,0,0,0,48,120,50,0,77,102,119,36,223,373,331,307,527,427,320,433,0,391,266,263,364,385,301,369
Zotu29,af435948.2 rhodoferax ferrireducens str. t118  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__rhodoferax;s__rhodoferax ferrireducens;superkingdom__bacteria,100,1.19435e-126,457.539,,,0,0,0,27,0,0,1,0,3,0,0,0,0,395,21,228,704,263,435,894,503,6,5,417,0,0,49,3,5,128,240,195,244,89,0,119,168,175,938,69,77,36,0,0,0,8,2,7,0,0,0,0,0,6,9,11,70,1422,851,0,2,0,0,1,5,0,0,0,0,1,0,51,5,37,0,0,5,38,36,3,10,15,0,39,0,37,44,8,25,18,1,22
Zotu30,gallionella capsiferriformans es_2  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__nitrosomonadales;f__gallionellaceae;g__gallionella;s__gallionella capsiferriformans; superkingdom__bacteria;,98.41897233,3.2049e-121,439.505,,,0,0,0,24,1,0,0,0,0,0,0,0,20,1373,47,1302,1728,1876,759,935,405,403,194,403,0,1,68,60,95,143,111,87,92,124,0,75,651,11,32,45,23,4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6
Zotu31,methylobacterium organophilum  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__hyphomicrobiales;f__methylobacteriaceae;g__methylobacterium;s__methylobacterium organophilum;superkingdom__bacteria;,93.28063241,2.63307e-103,379.994,,,0,0,0,2486,35,4,3,15,2,1,218,210,4,97,131,2,0,8,0,5,7,0,5,434,633,121,505,0,0,30,1,0,0,45,0,703,63,37,478,3,0,0,296,8,630,0,0,0,0,10,3,13,18,41,244,99,285,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,229,45,0,17,28,31
Zotu32,geothrix fermentans ;k__bacteria;p__acidobacteria;c__holophagae;o__holophagales;f__holophagaceae;g__geothrix;s__geothrix fermentans;superkingdom__bacteria;superphylum__fibrobacteres/acidobacteria group,99.60474308,5.07852e-125,452.129,,,0,0,0,0,1,0,0,0,0,0,0,0,0,307,9,1242,1355,615,760,800,61,3,2,192,0,0,12,147,25,120,269,100,279,43,0,48,83,17,49,11,88,14,0,0,3,0,0,0,0,0,0,0,4,4,16,2,38,897,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,116,0,0,0,0,8
Zotu33,gq895735.1 ralstonia pickettii str. dx_t3_01  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__ralstonia;s__ralstonia pickettii;superkingdom__bacteria,100,1.19435e-126,457.539,,,1,0,0,1622,6,8,6,10,2,3,852,565,3,8,133,4,0,3,0,4,4,1,0,0,0,6,18,0,0,9,8,10,2,33,0,86,6,4,2,5,2,2,607,7,530,14,6,20,0,328,11,13,41,2,4,7,8,2,0,333,632,273,36,0,0,0,0,77,160,13,139,210,4,10,226,201,127,97,41,16,96,22,46,18,51,34,34,65,23,32,60,27
Zotu34,ab024608.1 ralstonia solanacearum maff 301559  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__ralstonia;s__ralstonia solanacearum;superkingdom__bacteria,98.81422925,2.63074e-122,443.112,,,1,0,0,146,7,0,0,0,0,0,37,93,4,1,20,0,0,0,2,0,0,0,0,22,131,0,44,0,0,3,2,3,1,0,0,2,7,1,2,4,1,1,83,2,158,24,4,1,36,54,0,3,0,1,0,1,0,0,0,1752,504,1580,106,2,1,0,0,182,150,1,183,44,50,42,821,1440,301,162,83,5,222,68,106,12,287,11,4,6,4,210,119,15
Zotu35,eu981244.1 sulfate reducing living bench scale aquifer packed bed clone d12_fb  ;k__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfovibrionales;f__desulfovibrionaceae;g__desulfovibrio;s__desulfovibrio mexicanus;superkingdom__bacteria;subphylum__delta/epsilon subdivisions,100,1.19435e-126,457.539,,,0,0,0,0,0,0,0,0,0,0,125,0,1,5,1,20,94,18,539,984,754,0,0,26,0,0,38,5,0,29,279,179,282,14,0,0,51,407,0,446,738,2791,0,0,0,0,0,2,0,0,0,0,3,8,83,9,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu36,catenibacterium mitsuokai  ;k__bacteria;p__firmicutes;c__erysipelotrichia;o__erysipelotrichales;f__coprobacillaceae;g__catenibacterium;s__catenibacterium mitsuokai;superkingdom__bacteria;,100,4.14993e-126,455.735,,,454,376,361,25,385,412,402,419,319,377,0,115,351,151,33,64,30,58,156,29,212,270,204,0,70,250,185,270,321,200,122,195,81,190,0,93,219,151,243,236,165,57,16,316,0,273,230,244,0,81,259,265,263,295,224,338,187,23,33,0,83,39,0,269,353,0,0,0,50,277,169,1,253,232,0,0,179,318,269,439,199,215,183,328,0,206,89,192,234,102,270,147
Zotu37,ab024608.1 ralstonia solanacearum maff 301559  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__ralstonia;s__ralstonia solanacearum;superkingdom__bacteria,99.20948617,6.18691e-124,448.522,,,0,0,0,326,12,0,0,0,0,0,35,85,12,6,17,4,0,3,7,1,0,2,0,32,103,2,37,0,0,4,11,5,2,2,0,1,0,2,8,1,0,0,83,5,134,26,3,3,33,71,1,1,7,6,3,3,0,2,2,1270,737,1266,80,0,2,0,0,166,145,0,152,24,72,49,682,1326,423,180,152,15,316,122,120,19,188,7,9,15,5,204,144,21
Zotu38,ay860237.1 cupriavidus respiraculi str. au3775  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__burkholderiaceae;g__cupriavidus;s__cupriavidus respiraculi;superkingdom__bacteria,100,1.19435e-126,457.539,,,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,316,0,15,1,0,0,0,0,0,0,0,25,0,3,224,0,5273,199,0,902,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,152,0,0,0,0,548,0,3,1,0,0,0,7,0,0,0
